,,,,,,,,,,,,,,
Annual Visitation Report by Years: 2006 to 2016,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Annual%20Visitation%20By%20Park%20(1979%20-%20Last%20Calendar%20Year),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"This report will not correctly export to CSV. Please export to Excel, Word, or PDF if you wish to save this report.",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Recreational Visits,,,,,,,,,,,,
,Park Name,2007,2008,2009,2010,2011,2012,2013,2014,2015,,,2016,Average
,Abraham Lincoln Birthplace NHP,"202,950","200,404","221,111","177,122","163,568","169,515","163,928","241,264","148,605",,,"252,495","194,096"
,Acadia NP,"2,202,228","2,075,857","2,227,698","2,504,208","2,374,645","2,431,052","2,254,922","2,563,129","2,811,184",,,"3,303,393","2,474,832"
,Adams NHP,"224,880","241,536","253,656","73,339","219,975","336,031","285,501","178,468","183,632",,,"199,301","219,632"
,African Burial Ground NM,,,,"117,113","108,585","77,624","93,234","54,861","56,348",,,"46,526","79,184"
,Agate Fossil Beds NM,"12,997","12,425","12,694","12,509","11,617","11,824","10,504","12,440","13,264",,,"15,555","12,583"
,Alibates Flint Quarries NM,"4,028","2,297","2,918","4,350","3,214","3,383","1,555","4,513","9,492",,,"8,153","4,390"
,Allegheny Portage Railroad NHS,"123,215","113,991","118,931","107,363","118,410","138,864","107,977","172,883","168,433",,,"189,371","135,944"
,Amistad NRA,"1,734,200","1,980,717","2,573,966","1,574,322","1,436,759","1,367,502","1,025,151","1,130,096","1,250,051",,,"1,164,530","1,523,729"
,Andersonville NHS,"153,686","159,592","136,267","121,535","108,812","122,883","98,771","127,189","136,686",,,"134,216","129,964"
,Andrew Johnson NHS,"43,456","69,433","63,296","60,323","52,322","51,261","42,929","42,863","45,357",,,"45,937","51,718"
,Aniakchak NM & PRES,26,10,14,62,57,19,134,134,153,,,100,71
,Antietam NB,"337,569","352,548","378,966","393,957","384,987","510,921","370,832","337,079","347,180",,,"351,911","376,595"
,Apostle Islands NL,"182,396","162,871","170,202","156,945","176,040","163,419","148,556","290,059","232,662",,,"183,796","186,695"
,Appomattox Court House NHP,"149,255","178,748","185,443","216,220","258,917","320,668","317,660","278,776","412,640",,,"303,139","262,147"
,Arches NP,"860,181","928,795","996,312","1,014,405","1,040,758","1,070,577","1,082,866","1,284,767","1,399,247",,,"1,585,718","1,126,363"
,Arkansas Post NMEM,"37,230","43,137","32,160","34,712","37,127","39,703","36,420","30,860","38,702",,,"34,405","36,446"
,Arlington House The R.E. Lee MEM,"466,690","518,515","603,773","627,576","576,816","562,772","586,531","671,638","532,050",,,"1,057,500","620,386"
